Employer,Title,City,State/Country,Headquarters,Lat,Long,Sector
Amazon,Software Developer,Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Amazon,Software Development Engineer I,Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Apple,Software Engineer,San Francisco Bay Area,CA,"Cupertino, CA",37.322998,-122.032182,Technology
Apple,Software Engineer,San Francisco Bay Area,CA,"Cupertino, CA",37.322998,-122.032182,Technology
Applied Predictive Technologies,Software Infrastructure Engineer,"Metropolitan Baltimore/Washington, DC",MD,"Arlington, VA",38.87997,-77.10677,Technology
AQR Capital,Software Developer,Greenwich,CT,"Greenwich, CT",41.026242,-73.628196,Financial Services
Audible,Software Development Engineer,Metropolitan New York City,NJ,"Newark, NJ",40.735657,-74.172367,Technology
Bloomberg,Software Engineer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Cisco Meraki,Software Engineer,San Francisco Bay Area,CA,"San Francisco, CA",37.774929,-122.419416,Technology
Datto,Software Developer,Metropolitan New York City,NY,"Norwalk, CT",41.117744,-73.408158,Technology
DraftKings,Software Engineer,Metropolitan Boston,MA,"Boston, MA",42.360082,-71.05888,Other
Etsy,Software Engineer,Metropolitan New York City,NY,"Brooklyn, NY",40.678178,-73.944158,Technology
Facebook,Software Developer,San Francisco Bay Area,CA,"Menlo Park, CA",37.45296,-122.181725,Technology
Facebook,Software Engineer (2),Seattle,WA,"Menlo Park, CA",37.45296,-122.181725,Technology
GameChanger,Software Engineer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Other
Gilt Groupe,Software Engineer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Other
Goldman Sachs,Software Developer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Goldman Sachs,Technology Analyst,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Google,Software Developer,Mountain View,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Software Engineer (2),Mountain View,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Green Hills Software,Real Time Operating Systems Engineer,Palm Harbor,FL,"Santa Barbara, CA",34.420831,-119.69819,Technology
Green Hills Software,Software Development Engineer,Santa Barbara,CA,"Santa Barbara, CA",34.420831,-119.69819,Technology
Intel,Software Engineer,Hillsboro,OR,"Santa Clara, CA",37.354108,-121.955236,Technology
Intel,Validation Engineer,Hudson,MA,"Santa Clara, CA",37.354108,-121.955236,Technology
IXL Learning,Software Engineer (3),San Francisco Bay Area,CA,"San Mateo, CA",37.562992,-122.325525,Technology
Jane Street Capital,Software Developer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
LinkedIn,Software Developer,San Francisco Bay Area,CA,"Sunnyvale, CA",37.36883,-122.03635,Technology
LinkedIn,Software Engineer,San Francisco Bay Area,CA,"Sunnyvale, CA",37.36883,-122.03635,Technology
LinkedIn,Software Engineer,San Francisco Bay Area,CA,"Sunnyvale, CA",37.36883,-122.03635,Technology
MathWorks,Associate Software Engineer,Metropolitan Boston,MA,"Natick, MA",42.277528,-71.346809,Technology
MathWorks,Software Analyst,Natick,MA,"Natick, MA",42.277528,-71.346809,Technology
Microsoft,Program Manager,Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Microsoft,Software Developer,Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Palantir Technologies,Forward Deployed Engineer,San Francisco Bay Area,CA,"Palo Alto, CA",37.441883,-122.143019,Technology
Pinterest,Software Engineer,San Francisco Bay Area,CA,"San Francisco, CA",37.774929,-122.419416,Technology
Rackspace,Software Developer,San Antonio,TX,"San Antonio, TX",29.424122,-98.493628,Technology
Squarespace,Software Engineer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Technology
Stanford University,Clinical Research Coordinator,San Francisco Bay Area,CA,"Stanford, CA",37.424106,-122.166076,Other
